,amazon,facebook,google,apple,microsoft,sum,Description
CPT,42,39,42,42,42,207,Copyright/Patent/Trademark
TAX,42,35,40,42,42,201,Taxation/Internal Revenue Code
TRD,33,35,42,42,42,194,Trade (Domestic & Foreign)
TEC,42,10,42,42,42,178,Telecommunications
IMM,33,39,41,19,42,174,Immigration
CSP,42,0,42,42,42,168,Consumer Issues/Safety/Protection
EDU,21,1,30,42,42,136,Education
CPI,36,42,0,13,42,133,Computer Industry
HOM,42,38,37,0,0,117,Homeland Security
LBR,22,3,42,27,15,109,Labor Issues/Antitrust/Workplace
SCI,3,10,41,2,42,98,Science/Technology
ENV,0,4,0,42,42,88,Environmental/Superfund
LAW,0,27,16,41,0,84,Law Enforcement/Crime/Criminal Justice
TRA,28,1,27,25,2,83,Transportation
HCR,15,0,31,28,0,74,Health Issues
SMB,24,0,42,0,0,66,Small Business
INT,33,26,0,0,0,59,Intelligence and Surveillance
ADV,0,12,42,0,0,54,Advertising
MIA,0,42,0,10,0,52,Media (Information/Publishing)
FOR,0,6,42,1,0,49,Foreign Relations
FIN,30,2,0,8,0,40,"Financial
Institutions/Investments/Securities"
POS,37,0,0,0,0,37,Postal
DEF,33,0,0,0,2,35,Defense
GOV,17,15,0,0,0,32,Government Issues
BUD,17,0,0,14,0,31,Budget/Appropriations
AVI,31,0,0,0,0,31,Aviation/Aircraft/Airlines
BAN,3,0,0,26,0,29,Banking
WEL,26,0,0,0,0,26,Welfare
ENG,0,0,26,0,0,26,Energy/Nuclear
CIV,10,10,0,1,0,21,Civil Rights/Civil Liberties
BEV,8,0,0,0,0,8,Beverage Industry
MED,6,0,0,2,0,8,Medical/Disease Research/Clinical Labs
DIS,0,7,0,0,0,7,Disaster Planning/Emergencies
NAT,0,6,0,0,0,6,Natural Resources
MAN,0,0,0,3,0,3,Manufacturing
TAR,0,0,0,0,3,3,Miscellaneous Tariff Bills
CAW,2,0,0,0,0,2,Clean Air & Water (Quality)
COM,0,1,0,0,0,1,Communications/Broadcasting/Radio/TV
